block 1000, total 42000, active 17164, size 12, leak 205968.
block 200, total 3800, active 2969, size 48, leak 142512.
block 32, total 6560, active 6530, size 340, leak 2220200.
block 1000, total 42000, active 17164, size 12, leak 205968.
block 200, total 2200, active 1403, size 48, leak 67344.
block 32, total 6560, active 6553, size 340, leak 2228020.
block 1000, total 37000, active 15026, size 12, leak 180312.
block 200, total 2200, active 1505, size 48, leak 72240.
block 32, total 6560, active 6544, size 340, leak 2224960.
block 1000, total 37000, active 15011, size 12, leak 180132.
block 200, total 5200, active 4219, size 48, leak 202512.
block 32, total 6560, active 6553, size 340, leak 2228020.
block 1000, total 37000, active 15011, size 12, leak 180132.
block 200, total 4400, active 3157, size 48, leak 151536.
block 32, total 6560, active 6543, size 340, leak 2224620.
block 1000, total 38000, active 15745, size 12, leak 188940.
block 200, total 4600, active 3213, size 48, leak 154224.
block 32, total 6944, active 6927, size 340, leak 2355180.
block 1000, total 38000, active 15783, size 12, leak 189396.
block 200, total 4400, active 3308, size 48, leak 158784.
block 32, total 6976, active 6959, size 340, leak 2366060.
block 1000, total 38000, active 15745, size 12, leak 188940.
block 200, total 4600, active 3422, size 48, leak 164256.
block 32, total 6944, active 6921, size 340, leak 2353140.
block 1000, total 38000, active 15749, size 12, leak 188988.
block 200, total 4400, active 3630, size 48, leak 174240.
block 32, total 6976, active 6952, size 340, leak 2363680.
block 1000, total 38000, active 15745, size 12, leak 188940.
block 200, total 4600, active 3402, size 48, leak 163296.
block 32, total 6944, active 6944, size 340, leak 2360960.
block 32, total 6912, active 6910, size 340, leak 2349400.
block 32, total 6912, active 6910, size 340, leak 2349400.
block 1000, total 38000, active 15745, size 12, leak 188940.
block 200, total 4800, active 3863, size 48, leak 185424.
block 32, total 6944, active 6921, size 340, leak 2353140.
block 1000, total 38000, active 15749, size 12, leak 188988.
block 200, total 3400, active 1543, size 48, leak 74064.
block 32, total 6976, active 6956, size 340, leak 2365040.
block 1000, total 38000, active 15754, size 12, leak 189048.
block 200, total 1800, active 1475, size 48, leak 70800.
block 32, total 6944, active 6919, size 340, leak 2352460.
block 1000, total 38000, active 15754, size 12, leak 189048.
block 200, total 4600, active 3528, size 48, leak 169344.
block 32, total 6944, active 6919, size 340, leak 2352460.
block 1000, total 38000, active 15754, size 12, leak 189048.
block 32, total 6944, active 6942, size 340, leak 2360280.
block 1000, total 38000, active 15754, size 12, leak 189048.
block 200, total 4200, active 2939, size 48, leak 141072.
block 32, total 6944, active 6929, size 340, leak 2355860.
block 1000, total 38000, active 15736, size 12, leak 188832.
