,合成名称,需要技能,需要技能等级,产品,材料,材料个数,颜色概率,说明,卷轴学习
ID,Name,NeedSkill,NeedSkillLev,Product,Materials,MaterialNums,ColorRate,Desc,NeedActive
1,"Starter Ring",15,1,4963,6428;6425;,1;3,,,0
2,"Starter Amulet",15,1,6419,6428;6425;,1;3,,,0
3,"Ring of Elephant",15,2,4107,4963;6428;6426;6429;,1;1;1;2,,,0
4,"Ring of Dolphin",15,2,4172,4963;6428;6425;6429;,1;1;1;2,,,0
5,"Ring of Fox",15,2,4173,4963;6428;6424;6429;,1;1;1;2,,,0
6,"Ring of bear",15,2,4171,4963;6428;6427;6429;,1;1;1;2,,,0
7,"Sunshine Amulet",15,2,4268,6419;6428;6424;6429;,1;1;2;2,,,0
8,"Phoenix Ring",15,3,5606,4963;6425;6426;6429;,3;1;5;2,,,0
9,"Phoenix Amulet",15,3,5607,6419;6425;6426;6429;,3;1;5;2,,,0
10,"Phoenix Ring",15,3,5608,4963;6425;6426;6429;,3;1;5;2,,,0
11,"Phoenix Amulet",15,3,5609,6419;6425;6426;6429;,3;1;5;2,,,0
12,"Blue Ring",15,4,6467,6466,20,,,0
13,"Yellow Ring",15,4,6468,6466,20,,,0
14,"Red Ring",15,4,6469,6466,20,,,0
15,"Green Ring",15,4,6470,6466,20,,,0
16,"Blue Amulet",15,4,6472,6466,20,,,0
17,"Yellow Amulet",15,4,6473,6466,20,,,0
18,"Red Amulet",15,4,6474,6466,20,,,0
19,"Green Amulet",15,4,6475,6466,20,,,0
20,"Fish ",24,1,6524,6517;6539;6540,1;1;1,,,0
21,"Fish ",24,1,6525,6518;6539;6540,1;1;1,,,0
22,"Fish ",24,2,6526,6519;6539;6540,1;5;5,,,0
23,"Fish ",24,2,6527,6520;6539;6540,1;5;5,,,0
24,"Fish ",24,3,6528,6521;6539;6540,1;10;10,,,0
25,"Fish ",24,3,6529,6522;6539;6540,1;10;10,,,0
26,"Fish ",24,4,6530,6523;6539;6540,1;20;20,,,0
27,purple,15,5,6467,6466,45,,,0
28,"purple ring",15,5,6468,6466,45,,,0
29,"golden assistent",14,1,7517,7516;6572;6466,4;10;10,,,0
30,"golden assistent",14,1,7518,7516;6572;6466,4;10;10,,,0
31,"golden assistent",14,1,7519,7516;6572;6466,4;10;10,,,0
32,"golden assistent",14,1,7520,7516;6572;6466,4;10;10,,,0
33,"golden assistent",14,1,7521,7516;6572;6466,4;10;10,,,0
34,"golden assistent",14,1,7522,7516;6572;6466,4;10;10,,,0
35,"golden assistent",14,1,7523,7516;6572;6466,4;10;10,,,0
36,"golden assistent",14,1,7524,7516;6572;6466,4;10;10,,,0
37,"golden assistent",14,1,7525,7516;6572;6466,4;10;10,,,0
38,"golden assistent",14,1,7526,7516;6572;6466,4;10;10,,,0
39,"golden assistent",14,1,7527,7516;6572;6466,4;10;10,,,0
40,"golden assistent",14,1,7528,7516;6572;6466,4;10;10,,,0
41,"golden assistent",14,1,7529,7516;6572;6466,4;10;10,,,0
42,"golden assistent",14,1,7530,7516;6572;6466,4;10;10,,,0
43,"golden assistent",14,1,7531,7516;6572;6466,4;10;10,,,0
44,"golden assistent",14,1,7532,7516;6572;6466,4;10;10,,,0
45,"golden assistent",14,1,7533,7516;6572;6466,4;10;10,,,0
46,"golden assistent",14,1,7534,7516;6572;6466,4;10;10,,,0
47,"golden assistent",14,1,7535,7516;6572;6466,4;10;10,,,0
48,"golden assistent",14,1,7536,7516;6572;6466,4;10;10,,,0
49,"dark assistent",14,2,7537,7516;6572;6466,4;15;10,,,0
