,道具颜色,最小道具等级,最大道具等级,分解出物品,分解出物品的概率
ID,Color,MinLevel,MaxLevel,Items,Rates
1,3,1,70,7577,1
2,3,1,70,7577,1
3,3,1,70,7577,1
4,3,1,70,7577,1
5,3,1,70,7577,1
6,3,1,70,7577,1
7,3,1,70,7577,1
8,3,1,70,7577,1
9,3,1,70,7577,1
10,3,1,70,7577,1
11,4,1,70,7578,1
12,4,1,70,7578,1
13,4,1,70,7578,1
14,4,1,70,7578,1
15,4,1,70,7578,1
16,4,1,70,7578,1
17,4,1,70,7578,1
18,4,1,70,7578,1
19,4,1,70,7578,1
20,4,1,70,7578,1
21,5,1,70,7579,1
22,5,1,70,7579,1
23,5,1,70,7579,1
24,5,1,70,7579,1
25,5,1,70,7579,1
26,5,1,70,7579,1
27,5,1,70,7579,1
28,5,1,70,7579,1
29,5,1,70,7579,1
30,5,1,70,7579,1
