typeid,posx,posy,dir
7001,1428,1387,8
7002,1437,1384,8
4967,1445,1384,8
5216,1442,1341,0
5032,1436,1341,0
5033,1430,1341,0
7233,1426,1341,0
6058,1400,1362,4
6059,1400,1370,4
5362,1422,1320,0
5362,1422,1320,0
5362,1394,1692,6
5362,1394,1692,6
5362,1419,1737,6
5362,1419,1737,6
7100,1496,1436,8
7101,1432,1473,8
7102,1471,1514,8
7103,1546,1405,8
7104,1601,1457,8
7105,1632,1516,8
7106,1560,1549,8
7107,1507,1559,8
7108,1464,1597,8
7109,1453,1668,8
7110,1519,1647,8
7111,1588,1638,8
7112,1547,1594,8
7113,1520,1599,8
7114,1376,1503,8
7115,1325,1538,8
7116,1390,1593,8
7117,1339,1624,8
7118,1384,1675,8
7119,1427,1650,8
7120,1400,1348,1
415,1446,1341,0
7163,1633,1367,6
7163,1632,1374,6
7163,1636,1380,4
7163,1628,1385,2
7163,1626,1367,8
7163,1660,1393,10
7163,1659,1386,12
7163,1668,1392,10
7163,1675,1388,14
7163,1671,1406,0
7163,1665,1411,2
7163,1680,1408,0
7163,1680,1400,4
7163,1659,1404,14
7163,1656,1441,10
7163,1663,1442,8
7163,1664,1450,8
7163,1671,1452,8
7163,1654,1454,10
7163,1662,1457,6
7163,1712,1403,12
7163,1716,1395,12
7163,1728,1393,12
7163,1735,1401,10
7163,1723,1397,10
7163,1738,1408,8
7163,1725,1416,4
7163,1764,1413,14
7163,1768,1420,14
7163,1762,1404,14
7163,1769,1408,14
7163,1747,1360,12
7163,1753,1347,12
7163,1761,1348,12
7163,1751,1354,12
7163,1768,1349,10
7163,1685,1334,4
7163,1696,1335,4
7163,1697,1329,4
7163,1688,1323,4
7163,1690,1340,4
7163,1658,1449,8
7163,1650,1436,6
7163,1668,1389,8
7163,1731,1398,2
7163,1679,1394,14
7163,1745,1412,14
7163,1761,1421,0
7163,1750,1348,0
7163,1735,1419,0
7163,1757,1354,4
7163,1741,1356,4
7163,1739,1378,12
7163,1740,1388,12
7163,1732,1375,12
7163,1746,1373,10
7163,1746,1396,0
7163,1696,1344,0
7163,1707,1332,14
7163,1688,1329,14
7163,1701,1339,14
7164,1814,1370,8
7164,1819,1367,6
7164,1820,1374,8
7164,1840,1422,6
7164,1853,1422,8
7164,1847,1413,14
7164,1842,1433,6
7164,1859,1464,6
7164,1855,1448,4
7164,1862,1439,10
7164,1879,1471,8
7164,1869,1468,8
7164,1866,1454,4
7164,1860,1415,4
7164,1868,1420,6
7164,1813,1343,14
7164,1823,1348,12
7164,1820,1343,12
7164,1808,1335,12
7164,1806,1367,10
7164,1864,1342,10
7164,1852,1343,12
7164,1859,1349,14
7164,1860,1376,12
7164,1849,1384,10
7164,1859,1388,8
7164,1852,1375,10
7164,1876,1335,14
7164,1885,1332,14
7164,1873,1345,14
7164,1884,1349,14
7164,1861,1335,0
7164,1872,1379,10
7164,1876,1371,10
7164,1901,1384,10
7164,1903,1371,10
7164,1911,1378,10
7164,1911,1366,12
7164,1929,1374,8
7164,1936,1364,8
7164,1929,1365,8
7164,1945,1362,8
7164,1934,1356,8
7164,1926,1333,0
7164,1935,1338,12
7164,1922,1344,14
7164,1944,1338,14
7164,1931,1348,4
7164,1927,1385,8
7164,1946,1376,10
7164,1890,1339,2
7164,1941,1346,2
7164,1899,1333,12
7164,1908,1336,14
7164,1902,1343,0
7164,1912,1330,12
7164,1916,1337,0
7162,1941,1442,8
7162,1946,1449,6
7162,1965,1443,8
7162,1962,1450,2
7162,1954,1449,2
7162,1953,1473,4
7162,1958,1467,12
7162,1962,1473,12
7162,1964,1461,2
7162,1971,1476,6
7162,1961,1482,10
7162,1969,1482,14
7162,1949,1495,14
7162,1943,1509,0
7162,1936,1498,2
7162,1943,1502,0
7162,1950,1504,2
7162,1939,1488,8
7162,1946,1489,6
7162,1959,1490,8
7162,1968,1490,6
7162,1976,1489,10
7162,1978,1480,12
7162,1987,1491,8
7162,1994,1492,12
7162,1997,1485,12
7162,2002,1489,0
7162,2004,1485,12
7162,1991,1481,12
7162,1982,1465,12
7162,1456,1714,0
7162,1466,1713,14
7162,1458,1721,10
7162,1476,1708,14
7162,1465,1702,14
7162,1475,1697,2
7162,1467,1690,8
7162,1500,1704,14
7162,1513,1704,2
7162,1511,1686,4
7162,1502,1690,10
7162,1527,1703,14
7162,1520,1694,4
7162,1523,1685,10
7162,1538,1699,10
7162,1539,1691,0
7162,1532,1678,0
7162,1543,1676,4
7162,1556,1677,14
7162,1553,1688,14
7162,1557,1698,14
7162,1572,1698,14
7162,1584,1701,4
7162,1578,1675,4
7162,1572,1689,0
7162,1567,1679,0
7162,1588,1688,0
7162,1664,1751,10
7162,1678,1749,8
7162,1670,1740,8
7162,1684,1735,14
7162,1655,1752,14
7162,1687,1755,2
7162,1703,1752,2
7162,1679,1729,8
7162,1646,1746,10
7162,1661,1734,12
7162,1702,1741,8
7162,1714,1748,10
7162,1725,1747,8
7162,1716,1736,8
7162,1730,1736,4
7162,1697,1725,12
7162,1731,1726,12
7162,1752,1719,12
7162,1747,1706,0
7162,1760,1710,4
7162,1744,1726,8
7162,1722,1722,8
7162,1798,1739,10
7162,1819,1733,8
7162,1807,1726,8
7162,1818,1749,12
7162,1831,1741,10
7162,1833,1724,10
7162,1845,1735,14
7162,1843,1719,14
7162,1858,1724,12
7162,1858,1739,12
7162,1871,1742,14
7163,1681,1711,12
7163,1690,1715,0
7163,1700,1708,10
7163,1678,1690,12
7163,1697,1689,8
7163,1689,1680,8
7163,1687,1691,8
7163,1686,1701,10
7163,1743,1715,2
7163,1707,1685,14
7163,1736,1723,14
7163,1725,1700,14
7163,1708,1703,2
7163,1715,1680,6
7163,1717,1692,6
7163,1707,1668,10
7163,1691,1670,6
7163,1697,1666,12
7163,1706,1657,0
7163,1697,1644,0
7163,1700,1635,14
7163,1683,1642,10
7163,1689,1652,6
7163,1686,1661,2
7163,1697,1626,6
7163,1686,1631,4
7163,1703,1619,6
7163,1634,1699,10
7163,1632,1713,10
7163,1643,1706,12
7163,1651,1690,8
7163,1642,1686,8
7163,1633,1689,8
7163,1656,1675,8
7163,1653,1666,12
7163,1644,1673,12
7163,1633,1673,8
7163,1632,1661,2
7163,1644,1658,2
7163,1654,1652,14
7163,1647,1645,0
7163,1633,1649,12
7163,1654,1632,0
7163,1641,1626,14
7163,1662,1620,14
7163,1717,1707,0
7163,1635,1635,14
7163,1645,1612,8
7163,1662,1610,12
7163,1671,1606,6
7163,1663,1601,6
7163,1652,1605,6
7163,1668,1593,2
7163,1698,1611,2
7163,1703,1536,2
7163,1704,1524,4
7163,1725,1525,0
7163,1717,1517,0
7163,1726,1539,12
7163,1746,1527,12
7163,1749,1510,14
7163,1724,1505,14
7163,1698,1509,8
7163,1736,1488,8
7163,1759,1497,2
7163,1776,1507,2
7163,1873,1731,8
7163,1866,1715,8
7163,1883,1723,4
7163,1890,1739,4
7163,1898,1745,8
7163,1901,1735,8
7163,1889,1755,8
7163,1818,1723,8
7163,1796,1723,8
7163,1780,1738,8
7163,1788,1747,10
7164,1744,1666,8
7164,1761,1675,6
7164,1762,1658,2
7164,1751,1653,2
7164,1755,1664,6
7164,1749,1681,6
7164,1773,1683,8
7164,1729,1662,4
7164,1732,1649,8
7164,1744,1644,8
7164,1759,1631,6
7164,1738,1626,6
7164,1749,1618,8
7164,1762,1618,8
7164,1730,1619,8
7164,1748,1633,8
7164,1728,1605,10
7164,1740,1608,10
7164,1737,1596,10
7164,1794,1608,8
7164,1804,1621,12
7164,1802,1645,14
7164,1813,1641,14
7164,1823,1622,10
7164,1811,1600,10
7164,1838,1611,10
7164,1826,1586,12
7164,1826,1599,12
7164,1795,1590,12
7164,1811,1583,8
7164,1855,1604,8
7164,1838,1597,10
7164,1836,1578,8
7164,1833,1567,12
7164,1857,1562,12
7164,1882,1581,8
7164,1874,1553,12
7164,1874,1566,12
7164,1885,1558,12
7164,1880,1598,12
7164,1893,1579,12
7164,1844,1551,14
7164,1859,1549,14
7164,1827,1555,0
7164,1805,1563,0
7164,1818,1550,0
7164,1832,1541,14
7164,1841,1530,14
7164,1850,1539,2
7164,1867,1539,2
7164,1879,1544,0
7164,1830,1526,0
7164,1780,1586,8
7164,1792,1577,8
