ID,name,desc,talk_pre,talk_accept,talk_doing,talk_finish,task_failed
1700,Father's Strange Disease,Please invite Elder Dong to cure Elder Qiu.,My father has a strange disease.  He is getting worse...  Would you please invite Elder Dong to cure my father?,Please do me this favor.,What can I do for you?,Please don't worry.  I will try my best.,
1701,"Collect Herbal Medicine
",Collect some Woofi Grass and give them to Elder Dong.,Sorry...  This strange disease really beats me.  Now please collect some Woofi Grass for me to have a try.,Woofi Grass do help.,Have you collected enough?,Thanks!,
1702,Strange Scorpion,Please collect Cure Cream from those Strange Scorpions in Fir Woods.,"Besides Woofi Grass, we still need some Cure Cream.  Please collect some from those Strange Scorpions in Fir Woods",Cure Cream is another important ingredient.,Cure Cream is another important ingredient.,Millions of thanks.,
1703,Cure the Symptoms,Give Qiu Zhixian the medicine made by Elder Dong.,"I've made a Cold Fragrant Pill from the materials you'd collected.  Please give it to Qiu Zhixian.  But it can only cure symptoms.  To cure the roots, you'd better go to  Beauty Village to visit a man named Childe Tangz.",I've never seen such a strange disease before!,Have you got the medicine?,I will try my best to find him!,
1704,Favorable Turn,Go to get Happy Powder from Childe Tangz.,"I've heard that Childe Tangz has Happy Powder which can cure my father.  But as a unmarried girl, I cannot meet a stranger, so would you please go there for me?  Thanks a lot!",Thank you for your kindness!,Does this medicine help?,My father feels much better now.  Good medicine!,
1706,History of Happy Powder,Get information about the history of Happy Powder.,"So strange, why I feel some evils here?  And they may come from the medicine materials from Family Qiu.  Do you know where this medicine come from?",Please take care.,Can I help you?,What?  Happy Powder really helps.  It's evil?,
1707,Find Truth,Go to find Hunter Qiu who is exploring in Ease Cloud Cave to get some information.,"Oh, my brother is in danger now!  Because Happy Powder really helps, my brother decided to go to Ease Cloud Cave to find it.  If Wizard Liyu's message is true, what should I do?  $username$, please help me find my brother!",I cannot believe it.,Can I help you?,What?!  Are you kidding?,
1708,Tool Box of Hunter Qiu,Kill those evils in woods and take the Tool Box of Hunter Qiu back.,"I accidentally found a place on my way to Ease Cloud Cave.  I've heard that Master Long Eyebrow has imbedded his sword at this place, so I was so happy and tried to find it.  But some demons from Fir Woods kept attacking me and looted my Tool Box.  Would you please help me?",Thanks a lot!  ,Have you found back your lost items?,I have no other choice.  Thanks a lot!,
1709,Sword of Immortal,Go to Seven Swords Tomb and kill Sword Soul Guard to collect Sky Jade Sword.,"Nice to meet you here!  I just found a sword tomb in valley, among those swords there, I found seven special ones in a strange array, so I think they are Seven Swords.  But when I tried to touch them, I was attacked by lots of monsters.  Fortunately, I escaped rapidly.  Would you please take one for me?  I must keep finding medicine.  ",Thanks a lot!  ,What can I do for you?,Any news about my brother?  Great!,
1710,True or False,Give the Sky Jade Sword to Wizard Liyu to identify.,"It never occurred to me that there is a immortal relic near our village.  How did you find it?  So strange!  Oh, Wizard Liyu can help us to identify this sword!",I am sure that Wizard Liyu can identify this sword!,Can I help you?,Really?  You found my lost Sky Jade Sword?  Let me tell you the story.,
1711,Collect Pole Stone,Please collect some Pole Stones for Wizard Liyu.,"It's not our real sword!  But it seems have special evil, I am afraid that there are demons who wanna do evils to our Wizard.  I will find the truth myself.  $username$, please collect some Pole Stones for me.",You can find Pole Stone at the woods in northern Beauty Village.,Have you collected enough?,Good!,
1712,Power of Pole Stone,Lay the Yang Needle according to the array of Big Dipper to destroy the fake Seven Swords.,"As I guess, this so-called Seven Swords Tomb is fake.  Fortunately I've prepared enough Pole Stone and make Yang Needle.  You can lay the needles to the respective positions of the sword tomb to get rid of the evils.","The Seven Swords are laid according to the array of Big Dipper, so we must destroy the fake one in this way.",Have you finished?,Thanks!,
1713,Rescue Hunter Qiu,Kill the Black Rock Man guarding Swords Tomb and rescue Hunter Qiu.,Help please!  Suddenly a lot of demons came out from the sword tomb and attacked me!!  Could you exterminate them?,Please help me.,Have you killed those demons?,Millions of thanks!,
