无意义,等级,下一等级经验,下一等级时间（小时）,
ID,LEV,NEXT_LEV_EXP,NEXT_LEV_TIME,
1,1,1,1,
2,2,1,1,
3,3,1,1,
4,4,1,1,
5,5,1,1,
6,6,1,1,
7,7,1,1,
8,8,1,1,
9,9,1,1,
10,10,1,1,1
11,11,1,1,
12,12,1,1,
13,13,1,1,
14,14,1,1,
15,15,1,1,
16,16,1,1,
17,17,1,1,
18,18,1,1,
19,19,1,1,
20,20,10,1,1
21,21,10,1,
22,22,10,1,
23,23,10,1,
24,24,10,1,
25,25,10,1,
26,26,10,1,
27,27,10,1,
28,28,10,1,
29,29,10,1,
30,30,1200000,1,1
31,1,1200000,1,
32,2,1200000,1,
33,3,1200000,1,
34,4,1200000,1,
35,5,1200000,1,
36,6,1200000,1,
37,7,1200000,1,
38,8,1200000,1,
39,9,1200000,1,
40,40,1200000,1,1
