number,string,,number,string,number,number,number,number,number,number,number,string,cmd,cmd,cmd,cmd,cmd,cmd,number,number;num,number;num,number;num,number;num,number;num,number;num,number;num,number;num,string,number,number,number;num,number;num,,cmd,,cmd,cmd,,,
任务编号,名称,所属势力,任务等级,任务难度,单次任务,"重复任务每天
最大完成次数",重复任务每日前三次奖励加成,团队自动接受,团队共享,最小接受等级,最大接受等级,门派要求,额外接受要求,任务接受后指令,额外完成要求,完成要求,任务完成指令,任务取消指令,完成时间限制,杀死npc,杀死npc数量,收集道具,收集道具数量,道具掉落npc,掉落道具,道具掉落率,最大掉落数量,交互类型,相关npc,相关npc数量,使用道具,使用道具数量,xxx,任务固定奖励,任务固定奖励,任务选择奖励,任务随机奖励,门派专有奖励,向导屏蔽,
ID,,force,lev,dif,once,day_num,day_rate,team_accept,team_shared,accept_min_lev,accept_max_lev,accept_party,accept_req,accept_exe,extra_finish_req,finish_req,finish_exe,cancel_exe,time_limit,kill_npc_id,kill_npc_num,get_item_id,get_item_num,item_drop_npcid,item_drop_id,item_drop_rate,item_drop_num,related_type,related_npcid,related_npcnum,use_item_id,use_item_num,,reward_fix_exp,reward_fix,reward_select,reward_random,party_reward,mask,
1800,清除尸虫,38,31,0,1,,,,1,30,99,all,,,,,,,0,5611,20,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(8400);AddNimbus(4200);AddMoney(1260),,,,,,
1801,唯一的营地,38,31,0,1,,,,1,30,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,5 ,AddExp(2100);AddNimbus(1050);AddMoney(315),,,,,,
1802,尸气研究,38,31,0,1,,,,1,30,99,all,CheckTaskFinished(1801),,,,,,0,0,0,5100,20,5611,5100,1,20,,0,,0,99,20 ,AddExp(8400);AddNimbus(4200);AddMoney(1260),,,,,,
1803,审时度势,38,31,0,1,,,,1,30,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,5 ,AddExp(2100);AddNimbus(1050);AddMoney(315),,,,,,
1804,牙一族的入侵,38,32,0,1,,,,1,31,99,all,CheckTaskFinished(1803),,,,,,0,5612,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(12900);AddNimbus(6450);AddMoney(1980),,,,,,
1805,清理荒野,38,32,0,1,,,,1,31,99,all,,,,,,,0,0,0,5101,20,5613,5101,0.5,20,,0,,0,99,30 ,AddExp(12900);AddNimbus(6450);AddMoney(1980),,,,,,
1806,采石场,38,32,0,1,,,,1,31,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,5 ,AddExp(2150);AddNimbus(1075);AddMoney(330),,,,,,
1807,灵石佛像,38,32,0,1,,,,1,31,99,all,CheckTaskFinished(1806),,,,,,0,0,0,5102,2,5631,5102,1,2,,0,,0,99,5 ,AddExp(2150);AddNimbus(1075);AddMoney(330),,,,,,
1808,石像的灵异事件,38,33,0,1,,,,1,32,99,all,,,,,,,0,5614,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(13200);AddNimbus(6600);AddMoney(1980),,,,,,
1809,可怕的阴谋,38,33,0,1,,,,1,32,99,all,CheckTaskFinished(1808),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,5 ,AddExp(2200);AddNimbus(1100);AddMoney(330),,,,,,
1810,事件的真相,38,33,0,1,,,,1,32,99,all,CheckTaskFinished(1843),,,,,,0,5629,1,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(8800);AddNimbus(4400);AddMoney(1320),,,,,,
1811,牙一族的奥秘,38,33,0,1,,,,1,32,99,all,,,,,,,0,5615,20,5104,1,5632,5104,1,1,,0,,0,99,20 ,AddExp(8800);AddNimbus(4400);AddMoney(1320),,,,,,
1812,金牙族长,38,34,1,1,,,,1,33,99,all,CheckTaskFinished(1811),,,,,,0,5616,1,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(13500);AddNimbus(6750);AddMoney(2070),,,,,,
1813,紫竹林防线,38,34,0,1,,,,1,33,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,5 ,AddExp(2250);AddNimbus(1125);AddMoney(345),,,,,,
1814,坚硬的骨头,38,34,0,1,,,,1,33,99,all,CheckTaskFinished(1813),,,,,,0,5617,30,5105,30,5617,5105,1,30,,0,,0,99,30 ,AddExp(13500);AddNimbus(6750);AddMoney(2070),,,,,,
1815,超度亡灵,38,34,0,1,,,,1,33,99,all,,,,,,,0,5619,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(13500);AddNimbus(6750);AddMoney(2070),,,,,,
1816,抗击邪魔,38,35,0,1,,,,1,34,99,all,,,,,,,0,5618,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(13800);AddNimbus(6900);AddMoney(2070),,,,,,
1817,幽冥之花,38,35,0,1,,,,1,34,99,all,CheckTaskFinished(1816),,,,,,0,0,0,5109,1,5633;5634,5107;5108,1;1,99;99,,0,,0,99,10 ,AddExp(4600);AddNimbus(2300);AddMoney(690),,,,,,
1818,斩首行动,38,35,0,1,,,,1,34,99,all,CheckTaskFinished(1817),"AddItem(5132,1)",,,,"RemoveItem(5132,1)",0,5650,20,0,0,0,0,0,0,,0,,5132,1,20 ,AddExp(9200);AddNimbus(4600);AddMoney(1380),,,,,,
1819,落难的守军,38,35,0,1,,,,1,34,99,all,,,,,,,0,5650,20,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(9200);AddNimbus(4600);AddMoney(1380),,,,,,
1820,突现的高塔,38,36,0,1,,,,1,34,99,all,CheckTaskFinished(1819),,,,,,0,0,0,0,0,0,0,0,0,2,5605,1,0,99,20 ,AddExp(9400);AddNimbus(4700);AddMoney(1440),,,,,,
1821,石头的秘密,38,36,0,1,,,,1,35,99,all,,,,,,,0,0,0,5110,15,5652,5110,1,15,,0,,0,99,20 ,AddExp(9400);AddNimbus(4700);AddMoney(1440),,,,,,
1822,通往异界之路,38,37,0,1,,,,1,35,99,all,CheckTaskFinished(1821),,,,,,0,5638;5639,1;1,5111;5112,1;1,5621;5621,5111;5112,0.5;0.5,1;1,,0,,0,99,30 ,AddExp(14400);AddNimbus(7200);AddMoney(2160),,,,,,
1823,重整旗鼓,38,37,0,1,,,,1,36,99,all,,,,,,,0,0,0,5130;5131,1;1,5608;5503,5130;5131,1;1,1;1,,0,,0,99,5 ,AddExp(2400);AddNimbus(1200);AddMoney(360),,,,,,
1824,克敌之法,38,38,0,1,,,,1,36,99,all,CheckTaskFinished(1823),"AddItem(5113,1)",,,,"RemoveItem(5113,1)",0,0,0,0,0,0,0,0,0,,0,,5113,1,20 ,AddExp(9800);AddNimbus(4900);AddMoney(1500),,,,,,
1825,反攻飞雷岭一,38,38,0,1,,,,1,36,99,all,CheckTaskFinished(1824),,,,,,0,5622,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(14700);AddNimbus(7350);AddMoney(2250),,,,,,
1826,前线的求援,38,38,0,1,,,,1,37,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,5 ,AddExp(2450);AddNimbus(1225);AddMoney(375),,,,,,
1827,蜥蜴之毒,38,38,0,1,,,,1,37,99,all,CheckTaskFinished(1826),,,,,,0,0,0,5114;5115,10;10,5623;5641,5114;5115,1;1,10;10,,0,,0,99,20 ,AddExp(9800);AddNimbus(4900);AddMoney(1500),,,,,,
1828,治疗,38,39,0,1,,,,1,37,99,all,CheckTaskFinished(1827),"AddItem(5116,1)",,,,,0,0,0,5116,1,0,0,0,0,,0,,0,99,10 ,AddExp(5000);AddNimbus(2500);AddMoney(750),,,,,,
1829,紫竹林,38,39,0,1,,,,1,38,99,all,,,,,,,0,5625,20,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(10000);AddNimbus(5000);AddMoney(1500),,,,,,
1830,道听途说,38,39,0,1,,,,1,38,99,all,CheckTaskFinished(1829),,,,,,0,0,0,5117,1,5642,5117,1,1,,0,,0,99,20 ,AddExp(10000);AddNimbus(5000);AddMoney(1500),,,,,,
1831,邪恶之门的开启,38,40,1,1,,,,1,38,99,all,CheckTaskFinished(1830),,,,,,0,5627,1,5118,1,5627,5118,1,1,,0,,0,99,30 ,AddExp(15300);AddNimbus(7650);AddMoney(2340),,,,,,
1832,反攻飞雷岭二,38,39,0,1,,,,1,38,99,all,,,,,,,0,5626,20,5119,20,5626,5119,1,20,,0,,0,99,20 ,AddExp(10000);AddNimbus(5000);AddMoney(1500),,,,,,
1833,战事的平定,38,40,0,1,,,,1,38,99,all,CheckTaskFinished(1832),"AddItem(5120,1)",,,,"RemoveItem(5120,1)",0,0,0,5120,1,0,0,0,0,,0,,0,99,20 ,AddExp(10200);AddNimbus(5100);AddMoney(1560),,,,,,
1834,灵魂记忆的碎片,38,40,0,1,,,,1,39,99,all,,,,,,,0,0,0,5122,20,5628,5122,0.5,20,,0,,0,99,20 ,AddExp(10200);AddNimbus(5100);AddMoney(1560),,,,,,
1835,兄弟团聚,38,40,0,1,,,,1,39,99,all,CheckTaskFinished(1834),,,,,,0,0,0,5123,1,5645,5123,1,1,,0,,0,99,10 ,AddExp(5100);AddNimbus(2550);AddMoney(780),,,,,,
1836,最后的歉意,38,40,0,1,,,,1,39,99,all,CheckTaskFinished(1835),"AddItem(5126,1)",,,,"RemoveItem(5126,1)",0,0,0,0,0,0,0,0,0,,0,,5126,1,10 ,AddExp(5100);AddNimbus(2550);AddMoney(780),,,,,,
1837,飞雷岭异象,38,36,0,1,,,,1,36,99,all,,,,,,,0,0,0,5125,1,5646,5125,1,1,,0,,0,99,5 ,AddExp(2350);AddNimbus(1175);AddMoney(360),,,,,,
